Voltage,Current,Temperature,SOC,Health
11.9,0.95,39.2,79,Needs Attention
12.96,1.39,30.7,13,Critical
12.79,-0.21,41.3,6,Critical
11.74,-0.87,45.9,37,Critical
10.96,0.8,43.3,44,Critical
12.37,-1.35,48.8,5,Critical
12.52,-1.58,21.1,8,Critical
11.89,1.88,41.2,98,Needs Attention
11.08,0.25,41.9,61,Critical
10.89,-0.04,48.1,10,Critical
12.55,-1.82,29.9,28,Needs Attention
12.59,-0.38,29.8,93,Healthy
11.26,-1.12,38.8,58,Critical
10.52,-1.41,42.0,29,Critical
12.18,0.19,39.6,18,Critical
11.79,-1.05,39.4,71,Needs Attention
11.71,-0.62,36.0,83,Needs Attention
12.64,0.38,47.2,36,Critical
12.15,0.54,24.4,62,Needs Attention
11.63,1.65,46.5,98,Critical
12.89,0.69,49.6,76,Critical
11.3,-0.29,22.3,16,Critical
10.59,-0.85,32.6,63,Critical
12.43,-1.31,43.1,100,Critical
11.23,0.74,46.3,51,Critical
10.55,-0.02,38.9,88,Critical
12.03,1.81,33.4,33,Needs Attention
11.55,1.84,43.1,60,Critical
12.03,0.45,43.6,64,Critical
10.78,0.67,32.1,43,Critical
12.25,0.76,47.3,56,Critical
11.32,-0.59,35.3,40,Critical
12.7,-0.51,49.8,31,Critical
12.13,1.74,25.3,20,Needs Attention
10.88,-1.88,25.5,89,Critical
11.98,0.21,27.5,78,Needs Attention
12.15,1.92,34.0,51,Needs Attention
12.08,-0.18,42.0,61,Needs Attention
11.46,-0.28,47.0,97,Critical
12.57,-1.56,40.0,57,Needs Attention
11.17,-0.09,47.0,77,Critical
11.74,-1.1,21.1,17,Critical
11.11,-1.32,23.1,80,Critical
11.33,-0.52,29.4,79,Critical
11.65,0.52,30.5,73,Needs Attention
11.86,1.22,24.7,13,Critical
12.22,1.31,39.9,18,Critical
11.14,1.31,25.7,98,Critical
12.43,0.89,34.2,26,Needs Attention
11.62,0.62,30.2,95,Needs Attention
12.13,0.49,47.3,78,Critical
10.76,1.05,49.8,77,Critical
11.5,0.88,40.8,9,Critical
11.64,-1.2,38.8,59,Needs Attention
11.05,-0.58,44.7,38,Critical
12.9,-1.94,41.8,34,Needs Attention
11.88,-0.83,46.6,34,Critical
11.8,0.98,23.2,56,Needs Attention
12.49,-1.4,47.0,6,Critical
12.32,0.7,33.3,52,Needs Attention
10.93,0.61,46.4,48,Critical
11.71,-1.18,24.8,5,Critical
12.23,0.81,47.6,72,Critical
11.97,-0.25,22.7,80,Needs Attention
12.39,-1.6,32.9,42,Needs Attention
10.54,-0.78,49.7,97,Critical
11.52,-0.44,45.9,29,Critical
10.92,-1.14,38.5,20,Critical
12.01,-1.51,25.0,97,Needs Attention
11.28,0.3,22.2,64,Critical
11.95,1.7,23.8,46,Needs Attention
10.87,1.3,24.3,99,Critical
10.82,0.68,46.2,45,Critical
12.32,1.71,32.3,68,Healthy
12.64,0.67,45.3,77,Critical
10.52,0.78,39.3,31,Critical
11.79,1.17,36.3,12,Critical
12.15,-1.61,45.9,12,Critical
11.38,0.71,24.4,96,Critical
12.39,-1.71,28.4,45,Needs Attention
10.95,1.09,43.1,51,Critical
10.59,-1.32,32.9,57,Critical
11.11,1.6,46.3,79,Critical
10.66,0.52,30.8,74,Critical
12.17,0.58,47.5,72,Critical
12.18,-0.2,23.9,9,Critical
11.44,-0.99,34.3,86,Critical
11.36,0.83,23.7,97,Critical
12.1,-1.94,29.3,64,Needs Attention
12.87,1.23,30.3,39,Needs Attention
11.07,0.06,29.2,54,Critical
11.77,-0.5,27.3,9,Critical
11.07,-1.95,33.3,10,Critical
10.78,-1.42,46.7,74,Critical
10.74,-0.63,45.4,63,Critical
12.19,1.96,26.3,45,Needs Attention
11.09,-1.63,40.3,32,Critical
11.55,-0.73,37.1,60,Needs Attention
11.52,1.18,48.0,72,Critical
11.17,-0.05,47.1,77,Critical
11.05,0.89,28.9,74,Critical
11.06,1.14,39.5,92,Critical
12.6,0.06,24.7,22,Needs Attention
11.89,-1.32,37.7,10,Critical
12.19,1.87,36.3,22,Needs Attention
10.69,1.24,26.0,98,Critical
12.16,0.24,46.5,82,Critical
11.46,-0.46,21.8,66,Critical
10.72,-1.39,42.0,44,Critical
11.78,-0.35,29.3,53,Needs Attention
11.58,-1.55,48.1,53,Critical
11.24,0.06,44.3,83,Critical
11.26,-0.88,47.9,68,Critical
12.17,0.11,28.3,50,Needs Attention
10.67,-0.36,46.0,36,Critical
12.51,-1.9,40.4,51,Needs Attention
12.11,0.77,22.9,61,Needs Attention
11.54,-0.82,29.4,54,Needs Attention
11.15,-1.7,27.7,16,Critical
10.99,-0.41,48.0,79,Critical
11.26,0.24,41.2,67,Critical
11.3,1.59,36.0,58,Critical
11.37,-1.45,45.8,76,Critical
11.5,-1.86,49.2,51,Critical
11.27,-1.67,35.2,42,Critical
11.46,-1.48,41.4,93,Critical
11.62,-0.26,38.2,58,Needs Attention
10.5,1.06,42.5,18,Critical
11.5,-0.54,39.6,25,Needs Attention
11.08,0.36,30.1,19,Critical
10.8,1.75,38.1,11,Critical
11.58,1.66,35.1,77,Needs Attention
10.78,1.05,48.8,11,Critical
12.56,0.95,46.7,40,Critical
11.9,0.44,47.0,28,Critical
12.19,-1.2,49.9,96,Critical
11.52,-1.77,25.9,34,Needs Attention
11.98,-0.99,47.9,99,Critical
12.1,1.2,27.4,20,Needs Attention
10.52,-1.65,48.0,25,Critical
12.47,-0.28,25.9,18,Critical
11.14,-0.98,41.9,29,Critical
11.54,0.25,32.2,38,Needs Attention
12.53,0.57,50.0,24,Critical
11.98,0.9,28.9,20,Needs Attention
11.41,0.74,30.7,20,Critical
11.54,-1.13,22.6,13,Critical
12.82,0.02,22.6,51,Needs Attention
10.65,1.3,32.6,86,Critical
12.14,0.64,23.6,51,Needs Attention
12.96,-0.83,44.2,40,Critical
12.34,1.58,21.0,42,Needs Attention
12.91,0.5,25.1,78,Healthy
12.59,-1.06,28.7,95,Healthy
12.26,-0.94,42.8,15,Critical
12.27,-0.92,33.1,99,Healthy
10.82,-0.62,31.7,91,Critical
11.7,-0.6,32.9,88,Needs Attention
10.97,1.21,35.9,54,Critical
12.74,-1.48,42.7,100,Critical
10.53,-1.36,44.9,65,Critical
12.94,-1.6,26.6,29,Needs Attention
11.53,0.6,37.8,97,Needs Attention
11.85,0.82,48.5,13,Critical
11.58,0.27,33.8,45,Needs Attention
12.54,-0.02,26.1,53,Needs Attention
12.98,0.01,35.1,14,Critical
11.84,-1.32,21.2,98,Needs Attention
12.13,-1.37,20.7,62,Needs Attention
12.58,1.19,27.9,50,Needs Attention
12.83,1.1,25.5,35,Needs Attention
11.69,1.02,48.6,39,Critical
10.7,-1.13,28.9,54,Critical
10.89,-0.85,41.8,24,Critical
10.7,-0.55,22.1,66,Critical
10.79,1.29,47.4,26,Critical
12.8,1.4,35.1,33,Needs Attention
11.78,-1.31,32.9,98,Needs Attention
12.46,-1.59,24.5,71,Healthy
12.19,1.24,36.7,92,Needs Attention
10.74,-1.64,45.9,26,Critical
12.72,-0.68,28.1,69,Healthy
11.58,-0.09,38.3,64,Needs Attention
12.12,-1.92,43.4,49,Critical
12.05,1.95,32.2,84,Needs Attention
12.57,-0.9,43.6,91,Critical
11.14,-1.28,49.9,44,Critical
11.2,-0.15,44.8,41,Critical
11.65,-0.31,42.5,87,Critical
12.06,-1.5,21.6,20,Needs Attention
11.13,-0.8,30.0,29,Critical
12.3,-1.28,28.9,87,Healthy
13.0,-0.19,25.4,63,Healthy
10.83,-1.83,38.8,74,Critical
10.9,0.8,32.8,84,Critical
12.26,0.06,39.4,5,Critical
11.27,0.91,31.6,42,Critical
11.8,-0.52,25.6,54,Needs Attention
11.63,0.13,25.5,12,Critical
10.67,1.15,32.7,58,Critical
12.45,0.83,37.4,11,Critical
12.42,0.47,25.9,32,Needs Attention
10.96,-1.68,35.3,71,Critical
11.2,1.35,28.4,70,Critical
10.59,0.11,47.0,89,Critical
12.65,-0.18,34.6,16,Critical
11.28,1.4,32.3,76,Critical
11.94,0.64,49.0,72,Critical
11.4,0.77,27.6,82,Critical
10.56,-0.94,47.4,37,Critical
12.93,-0.22,41.6,53,Needs Attention
11.23,-0.07,24.8,59,Critical
12.54,-1.17,21.6,83,Healthy
10.62,-1.49,37.7,99,Critical
11.5,-1.9,39.2,25,Needs Attention
12.35,-1.29,41.8,93,Needs Attention
10.82,-1.52,29.5,94,Critical
11.41,-1.17,27.9,34,Critical
12.37,1.18,38.0,24,Needs Attention
12.85,1.86,24.4,44,Needs Attention
10.71,-1.3,45.4,34,Critical
10.69,-1.07,35.8,47,Critical
10.63,-1.89,46.5,90,Critical
12.53,1.41,20.4,97,Healthy
11.52,1.08,39.6,31,Needs Attention
11.1,1.86,46.6,21,Critical
11.35,-1.09,36.1,85,Critical
10.89,-1.42,46.8,89,Critical
11.61,1.14,27.7,79,Needs Attention
11.36,-1.71,33.9,85,Critical
10.56,-1.79,25.5,56,Critical
11.35,-0.87,31.5,46,Critical
11.22,1.79,29.4,91,Critical
11.98,-0.84,49.4,25,Critical
12.53,-1.84,46.0,22,Critical
12.02,-0.76,29.2,18,Critical
12.77,0.24,29.7,36,Needs Attention
12.35,1.81,34.6,58,Needs Attention
11.58,1.58,27.7,35,Needs Attention
12.97,1.9,23.4,55,Needs Attention
12.82,-1.47,45.1,73,Critical
12.0,-1.69,41.9,47,Needs Attention
12.85,-0.72,39.6,84,Needs Attention
10.9,-0.2,40.2,13,Critical
11.51,-1.86,42.3,10,Critical
11.04,-0.51,36.3,68,Critical
11.92,1.83,24.5,83,Needs Attention
11.5,0.89,38.7,78,Needs Attention
12.13,-0.96,28.3,97,Needs Attention
12.98,-0.86,45.0,70,Critical
11.77,1.52,21.1,72,Needs Attention
11.1,-1.78,41.1,60,Critical
12.22,0.48,27.7,7,Critical
12.01,1.88,22.3,30,Needs Attention
12.69,-1.36,21.0,12,Critical
12.71,-0.04,49.4,86,Critical
10.65,1.68,49.2,17,Critical
10.7,-1.16,31.0,91,Critical
11.92,-0.09,36.6,18,Critical
11.49,-0.61,43.8,100,Critical
12.12,-1.46,42.8,40,Critical
10.52,-0.46,38.9,37,Critical
11.98,-0.6,30.0,26,Needs Attention
11.12,0.36,25.6,67,Critical
11.85,0.97,32.0,58,Needs Attention
11.27,1.49,46.8,36,Critical
12.36,0.38,33.3,38,Needs Attention
11.68,1.24,46.9,96,Critical
11.33,0.58,21.0,79,Critical
11.46,1.87,39.0,50,Critical
12.62,0.88,34.3,65,Healthy
10.64,-1.89,28.9,54,Critical
10.77,1.98,31.4,19,Critical
11.27,0.78,37.1,19,Critical
11.1,0.66,29.4,42,Critical
12.18,-0.4,25.9,60,Needs Attention
11.02,-1.69,26.3,29,Critical
11.53,-1.42,35.0,70,Needs Attention
10.93,0.77,28.8,45,Critical
12.57,-0.53,25.6,60,Healthy
11.8,-1.19,39.7,93,Needs Attention
12.4,-1.03,41.5,72,Needs Attention
12.28,-0.17,46.1,41,Critical
11.2,0.17,35.9,35,Critical
11.19,-1.78,45.4,89,Critical
12.72,-1.31,20.8,8,Critical
10.74,0.32,30.6,53,Critical
12.43,-1.01,39.0,53,Needs Attention
11.18,-0.55,43.8,76,Critical
11.72,-0.71,41.4,19,Critical
11.24,-1.92,31.4,63,Critical
11.16,-1.28,28.0,29,Critical
11.39,1.54,39.5,30,Critical
12.17,-0.51,23.9,98,Needs Attention
11.94,0.62,38.8,48,Needs Attention
11.73,-0.97,20.6,49,Needs Attention
11.88,-0.7,32.0,71,Needs Attention
12.27,-0.83,26.9,59,Needs Attention
12.91,1.17,24.5,73,Healthy
10.59,-0.08,34.3,19,Critical
11.3,-1.62,20.6,25,Critical
10.86,0.22,25.7,62,Critical
11.89,-0.09,31.8,95,Needs Attention
11.9,-1.62,26.0,97,Needs Attention
10.54,-1.96,21.2,9,Critical
10.88,0.75,28.0,47,Critical
12.95,-1.35,31.5,86,Healthy
11.97,0.57,26.1,45,Needs Attention
11.43,0.88,23.4,26,Critical
12.96,-0.7,21.6,19,Critical
11.97,0.85,47.1,22,Critical
11.51,-1.49,44.7,27,Critical
10.65,0.02,26.4,59,Critical
11.61,-1.4,47.4,11,Critical
12.14,1.48,46.4,59,Critical
12.69,1.73,29.3,13,Critical
12.11,1.93,28.0,41,Needs Attention
12.83,-1.48,36.5,78,Needs Attention
11.23,0.63,40.9,5,Critical
11.21,-0.97,34.3,84,Critical
11.76,1.31,25.9,50,Needs Attention
12.45,1.99,25.0,32,Needs Attention
11.05,-1.36,21.7,30,Critical
12.5,1.5,43.1,87,Critical
12.99,1.01,23.8,77,Healthy
11.32,-0.75,27.7,50,Critical
11.87,-0.92,21.4,76,Needs Attention
11.84,1.8,36.4,30,Needs Attention
10.95,-0.62,36.9,91,Critical
11.39,-0.74,26.4,88,Critical
11.13,0.48,27.3,10,Critical
12.61,-1.97,40.7,64,Needs Attention
11.04,1.65,21.8,50,Critical
11.16,-0.89,34.6,96,Critical
12.27,1.39,40.7,56,Needs Attention
11.71,1.46,41.9,45,Needs Attention
11.16,-0.48,49.6,56,Critical
11.75,-1.79,47.8,7,Critical
11.66,1.52,27.8,38,Needs Attention
10.67,1.74,37.0,49,Critical
10.97,0.04,26.4,19,Critical
11.13,-1.93,21.4,38,Critical
11.89,1.72,48.2,22,Critical
12.75,0.01,38.8,21,Needs Attention
10.87,0.46,34.1,78,Critical
12.78,-1.4,42.9,86,Critical
12.93,-1.89,37.8,38,Needs Attention
12.14,1.33,22.5,60,Needs Attention
12.1,-1.35,25.4,16,Critical
12.16,-0.75,32.1,85,Needs Attention
11.65,-1.13,23.0,24,Needs Attention
12.4,-0.38,44.5,33,Critical
10.86,-0.57,20.9,82,Critical
10.53,-0.26,37.2,63,Critical
12.23,-0.1,44.4,99,Critical
11.62,1.03,48.2,85,Critical
10.86,1.58,44.0,79,Critical
11.86,-1.55,20.5,50,Needs Attention
11.61,-0.75,23.7,64,Needs Attention
12.91,0.31,22.1,63,Healthy
10.8,-0.28,43.9,42,Critical
11.69,-0.69,46.2,8,Critical
12.75,-0.0,41.6,19,Critical
11.01,1.22,25.9,9,Critical
11.52,0.21,24.0,70,Needs Attention
10.52,1.94,40.6,9,Critical
10.87,-0.8,25.4,42,Critical
12.0,0.61,21.5,12,Critical
12.37,-1.4,36.2,61,Needs Attention
10.68,1.99,48.4,45,Critical
10.81,-0.69,24.0,26,Critical
11.03,1.67,23.6,33,Critical
11.75,1.55,43.0,29,Critical
12.46,1.87,48.6,89,Critical
10.58,1.35,26.1,97,Critical
12.01,-0.55,27.9,29,Needs Attention
11.12,-0.04,34.0,77,Critical
11.87,-1.02,23.6,74,Needs Attention
10.99,0.38,25.3,34,Critical
10.56,1.26,32.2,20,Critical
12.88,1.76,49.7,92,Critical
12.53,1.8,42.2,57,Critical
12.9,0.07,38.2,34,Needs Attention
12.85,0.58,27.9,47,Needs Attention
12.75,1.39,31.4,16,Critical
12.74,1.75,33.8,33,Needs Attention
11.47,-0.59,46.7,63,Critical
11.75,-1.16,35.6,32,Needs Attention
12.65,-1.66,44.2,100,Critical
11.26,0.86,37.7,33,Critical
12.79,-1.12,32.6,97,Healthy
11.46,-0.55,31.0,64,Critical
12.27,0.72,45.7,64,Critical
12.81,0.63,27.7,17,Critical
11.26,-1.99,47.1,49,Critical
11.45,1.61,44.6,29,Critical
12.96,1.88,25.2,19,Critical
12.1,0.52,31.4,25,Needs Attention
12.24,1.3,27.7,78,Healthy
11.28,-0.65,24.1,99,Critical
11.36,-0.73,28.0,56,Critical
11.41,1.84,37.6,97,Critical
12.13,1.37,44.3,12,Critical
10.94,-0.15,42.3,26,Critical
10.95,0.86,47.0,98,Critical
11.92,-1.99,46.5,94,Critical
11.39,-1.09,20.9,8,Critical
12.12,-0.02,36.8,20,Needs Attention
12.66,1.97,40.9,61,Needs Attention
12.95,-1.18,29.9,26,Needs Attention
12.18,0.58,47.6,64,Critical
11.27,-0.13,45.4,77,Critical
12.14,1.24,48.6,92,Critical
11.32,1.79,21.8,98,Critical
12.44,0.45,23.8,68,Healthy
11.63,1.36,47.9,32,Critical
11.59,0.93,24.5,59,Needs Attention
12.22,-0.42,28.7,9,Critical
12.49,-0.53,37.1,57,Needs Attention
12.12,1.82,25.6,51,Needs Attention
12.71,-0.1,39.2,82,Needs Attention
11.03,0.81,24.6,68,Critical
12.4,-0.46,47.0,94,Critical
12.77,0.9,45.3,45,Critical
12.32,-0.2,21.4,36,Needs Attention
11.71,0.84,35.1,33,Needs Attention
11.13,-1.5,48.5,71,Critical
12.33,0.68,33.8,52,Needs Attention
11.19,0.82,36.3,25,Critical
11.36,-1.92,28.8,66,Critical
12.07,-1.1,43.8,42,Critical
10.93,-1.64,40.1,32,Critical
12.58,-1.19,26.0,53,Needs Attention
12.91,1.86,49.0,93,Critical
12.99,1.73,48.6,35,Critical
11.74,0.82,46.6,28,Critical
11.6,0.02,42.5,16,Critical
12.19,-0.68,39.3,22,Needs Attention
11.33,1.81,28.9,72,Critical
11.68,0.11,32.6,12,Critical
11.03,0.23,29.1,22,Critical
11.72,-0.02,38.9,40,Needs Attention
12.21,-1.66,35.9,37,Needs Attention
10.7,1.43,36.6,16,Critical
12.46,-1.17,42.3,67,Critical
11.06,0.51,48.0,32,Critical
12.87,-1.63,33.5,10,Critical
10.62,-1.47,28.3,7,Critical
11.21,-1.91,22.9,86,Critical
12.92,1.17,30.8,91,Healthy
11.77,-1.55,27.8,7,Critical
12.78,1.29,42.1,97,Critical
11.05,-0.26,31.9,63,Critical
12.55,1.92,41.1,48,Needs Attention
10.59,-1.72,25.6,68,Critical
12.27,-1.58,41.6,25,Needs Attention
12.11,-0.3,38.1,30,Needs Attention
12.0,-1.39,26.6,23,Needs Attention
12.92,-1.98,38.4,28,Needs Attention
11.77,-0.37,48.0,82,Critical
10.78,0.14,42.1,23,Critical
11.63,-0.96,39.3,45,Needs Attention
12.19,0.76,26.7,50,Needs Attention
11.94,0.77,44.7,67,Critical
11.81,0.84,20.7,88,Needs Attention
11.74,-0.69,32.9,72,Needs Attention
12.27,-0.79,40.7,14,Critical
12.73,1.32,33.1,39,Needs Attention
10.97,-0.23,28.0,18,Critical
11.0,-1.69,33.3,15,Critical
11.8,1.14,35.3,79,Needs Attention
12.37,0.06,48.5,5,Critical
10.75,-1.44,44.1,12,Critical
11.31,-1.66,33.2,91,Critical
12.03,0.73,24.7,8,Critical
12.68,1.8,37.9,27,Needs Attention
11.85,0.59,37.0,80,Needs Attention
10.94,1.95,23.6,53,Critical
11.56,1.42,47.1,14,Critical
12.46,-1.12,33.1,41,Needs Attention
12.24,1.37,37.1,83,Needs Attention
10.97,-0.15,33.1,99,Critical
12.56,-1.59,27.9,82,Healthy
12.96,0.03,31.2,85,Healthy
10.7,-0.71,30.4,10,Critical
11.56,1.28,34.1,67,Needs Attention
10.81,0.59,49.5,100,Critical
11.28,-1.87,27.0,6,Critical
11.51,-1.97,46.0,61,Critical
12.98,-0.14,44.4,62,Critical
12.65,-1.47,28.7,45,Needs Attention
11.66,0.71,29.6,34,Needs Attention
12.53,-0.59,36.1,66,Needs Attention
11.38,-0.82,44.2,71,Critical
12.11,1.15,36.1,23,Needs Attention
10.58,1.81,21.1,84,Critical
11.61,0.28,24.0,97,Needs Attention
10.85,0.93,23.9,8,Critical
12.74,-0.24,38.9,88,Needs Attention
11.3,-0.69,24.3,81,Critical
11.81,0.62,21.2,17,Critical
11.48,-1.17,47.6,94,Critical
11.06,1.31,41.1,54,Critical
11.66,-1.53,48.8,54,Critical
12.31,1.7,47.6,70,Critical
11.47,0.26,46.2,95,Critical
12.15,0.16,20.6,66,Needs Attention
12.61,-0.04,24.4,11,Critical
12.27,0.08,22.2,37,Needs Attention
10.84,-0.38,48.5,83,Critical
11.85,1.45,44.8,46,Critical
11.97,0.88,36.6,11,Critical
12.7,-0.67,35.8,16,Critical
11.69,0.1,39.4,83,Needs Attention
11.47,1.54,40.7,59,Critical
12.48,1.01,48.2,52,Critical
10.61,-0.84,50.0,97,Critical
10.9,1.57,34.9,89,Critical
12.56,-1.93,23.0,11,Critical
12.41,1.45,50.0,23,Critical
12.14,0.48,44.8,28,Critical
11.32,0.04,26.0,100,Critical
11.04,0.51,29.9,57,Critical
12.48,1.74,39.9,68,Needs Attention
11.2,0.94,23.0,100,Critical
11.62,-1.96,42.6,15,Critical
11.7,-0.04,39.5,51,Needs Attention
11.12,1.31,27.9,5,Critical
10.66,0.05,44.1,55,Critical
12.04,0.91,36.9,57,Needs Attention
11.46,0.71,41.4,45,Critical
12.07,1.19,40.1,39,Needs Attention
10.86,0.4,22.7,98,Critical
11.47,-0.7,32.7,57,Critical
12.84,-0.87,27.6,84,Healthy
11.74,-0.54,25.0,76,Needs Attention
11.44,-0.5,21.8,10,Critical
12.31,0.8,49.8,92,Critical
12.42,-1.45,46.9,81,Critical
12.5,1.82,41.1,82,Needs Attention
11.3,1.56,38.2,65,Critical
12.43,-1.41,32.0,55,Needs Attention
11.19,-0.09,24.9,43,Critical
12.01,-1.61,30.0,17,Critical
11.54,-0.5,27.7,5,Critical
12.76,-0.17,22.5,12,Critical
12.72,1.68,28.2,59,Needs Attention
12.25,-0.88,26.8,98,Healthy
11.27,1.36,35.8,57,Critical
11.86,0.23,46.1,90,Critical
11.16,-0.58,33.4,12,Critical
10.72,-1.97,45.6,54,Critical
11.2,-1.15,46.2,10,Critical
11.23,1.16,42.3,93,Critical
12.89,1.19,44.4,40,Critical
10.72,-1.29,39.0,69,Critical
11.69,-1.77,36.2,25,Needs Attention
11.53,-0.33,46.0,16,Critical
12.4,0.15,39.1,78,Needs Attention
12.93,-0.25,29.3,91,Healthy
10.83,0.36,24.3,94,Critical
11.1,-0.48,49.0,87,Critical
12.28,0.48,42.9,21,Critical
11.55,1.43,48.3,80,Critical
12.88,-0.61,30.2,96,Healthy
12.11,0.63,41.7,80,Needs Attention
10.63,0.98,23.5,20,Critical
10.99,0.39,27.1,9,Critical
11.36,1.08,27.6,88,Critical
12.62,0.9,34.3,81,Healthy
10.5,-0.5,32.5,56,Critical
12.77,1.51,33.6,62,Healthy
12.8,-0.11,33.0,52,Needs Attention
12.1,-0.33,39.1,40,Needs Attention
10.68,-1.99,37.2,49,Critical
11.8,-0.28,23.1,36,Needs Attention
11.79,1.46,32.8,21,Needs Attention
11.5,1.34,22.9,12,Critical
10.54,-0.53,36.3,71,Critical
12.46,-1.61,41.9,71,Needs Attention
12.12,1.65,36.2,37,Needs Attention
11.78,0.34,35.1,16,Critical
11.05,0.95,45.1,16,Critical
12.89,-0.39,23.0,63,Healthy
12.93,0.34,25.9,79,Healthy
10.56,-1.61,46.1,95,Critical
11.3,1.1,29.8,22,Critical
