Time,Voltage,Current,Temperature,SOC,Health Score,Prediction,Condition,Status
2026-08-20 20:12:55,10.97,-1.9,35.2,10,40,Critical,Critical,🔌 DISCHARGING
2026-08-20 20:12:57,12.5,1.65,35.0,86,100,Healthy,Healthy,☀️ CHARGING
2026-08-20 20:14:32,10.98,-1.18,47.6,91,45,Critical,Critical,🔌 DISCHARGING
2026-08-20 20:14:34,10.7,-1.81,45.8,86,45,Critical,Critical,🔌 DISCHARGING
2026-08-20 20:14:36,11.45,-0.42,47.1,24,35,Critical,Critical,🔌 DISCHARGING
2026-08-20 20:17:59,12.66,-0.68,30.2,10,80,Critical,Critical,🔌 DISCHARGING
2026-08-20 20:18:10,12.5,1.0,30.0,80,100,Healthy,Healthy,☀️ CHARGING
2026-08-20 20:18:22,12.5,1.0,30.0,67,100,Healthy,Healthy,☀️ CHARGING
2026-08-20 20:18:27,12.5,1.0,30.0,70,100,Healthy,Healthy,☀️ CHARGING
2026-08-20 20:18:35,12.5,1.0,70.0,70,75,Critical,Critical,☀️ CHARGING
2026-08-20 20:20:44,12.5,1.0,30.0,70,100,Healthy,Healthy,☀️ CHARGING
2026-08-20 20:20:47,12.5,1.0,30.0,85,100,Healthy,Healthy,☀️ CHARGING
2026-08-20 20:20:52,12.5,1.0,30.0,80,100,Healthy,Healthy,☀️ CHARGING
2026-08-20 20:22:56,12.5,1.0,50.0,80,75,Critical,Critical,☀️ CHARGING
2026-08-20 20:22:59,12.5,1.0,50.0,25,65,Critical,Critical,☀️ CHARGING
2026-08-20 20:23:04,12.5,1.0,50.0,40,75,Critical,Critical,☀️ CHARGING
2026-08-20 20:24:56,12.4,1.0,50.0,40,75,Critical,Critical,☀️ CHARGING
2026-08-20 20:24:57,12.1,1.0,50.0,40,75,Critical,Critical,☀️ CHARGING
2026-08-20 20:24:58,12.0,1.0,50.0,40,75,Critical,Critical,☀️ CHARGING
2026-08-20 20:25:34,11.3,1.0,50.0,40,45,Critical,Critical,☀️ CHARGING
2026-08-20 20:25:35,11.2,1.0,50.0,40,45,Critical,Critical,☀️ CHARGING
2026-08-20 20:25:36,11.0,1.0,50.0,40,45,Critical,Critical,☀️ CHARGING
2026-08-20 20:25:36,10.9,1.0,50.0,40,45,Critical,Critical,☀️ CHARGING
2026-08-20 20:25:38,11.0,1.0,50.0,40,45,Critical,Critical,☀️ CHARGING
2026-08-20 20:25:44,11.0,1.0,70.0,40,45,Critical,Critical,☀️ CHARGING
2026-08-20 20:25:45,11.0,1.0,70.0,52,45,Critical,Critical,☀️ CHARGING
2026-08-20 20:25:48,11.0,1.0,70.0,50,45,Critical,Critical,☀️ CHARGING
2026-08-20 20:44:07,10.99,-0.68,27.8,73,70,Critical,Critical,🔌 DISCHARGING
2026-08-20 20:44:12,12.5,1.0,30.0,80,100,Healthy,Healthy,☀️ CHARGING
2026-08-20 20:47:30,11.54,-0.31,24.8,62,85,Needs Attention,Needs Attention,🔌 DISCHARGING
2026-08-20 20:47:40,12.5,1.0,30.0,80,100,Healthy,Healthy,☀️ CHARGING
2026-08-20 20:49:32,11.22,-1.76,34.7,70,70,Critical,Critical,🔌 DISCHARGING
2026-08-20 20:53:29,12.5,1.0,30.0,80,100,Healthy,Healthy,☀️ CHARGING
2026-08-20 20:59:12,11.27,-1.67,47.1,47,45,Critical,Critical,🔌 DISCHARGING
2026-08-20 20:59:37,12.37,-0.02,42.8,21,65,Critical,Critical,⏸ IDLE
2026-08-20 21:04:08,11.97,-0.3,26.7,54,85,Needs Attention,Needs Attention,🔌 DISCHARGING
2026-08-20 21:04:19,12.5,1.0,30.0,80,100,Healthy,Healthy,☀️ CHARGING
2026-08-20 21:04:30,10.81,0.66,47.8,82,45,Critical,Critical,☀️ CHARGING
2026-08-20 21:04:32,12.5,1.0,30.0,80,100,Healthy,Healthy,☀️ CHARGING
2026-08-21 12:30:15,11.69,-0.01,36.8,74,75,Needs Attention,Needs Attention,⏸ IDLE
2026-08-21 12:31:10,11.13,1.54,43.9,5,25,Critical,Critical,☀️ CHARGING
2026-08-21 12:31:12,11.89,-1.37,31.3,100,85,Needs Attention,Needs Attention,🔌 DISCHARGING
2026-08-21 12:31:13,12.93,-0.18,47.3,23,65,Critical,Critical,🔌 DISCHARGING
2026-08-21 12:31:14,11.75,0.43,49.6,24,50,Critical,Critical,☀️ CHARGING
2026-08-21 12:31:16,11.1,1.13,35.1,90,60,Critical,Critical,☀️ CHARGING
2026-08-21 12:31:18,12.01,0.25,41.5,55,90,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-21 12:31:19,12.76,0.11,31.8,40,100,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-21 12:31:37,12.5,1.0,30.0,80,100,Healthy,Healthy,☀️ CHARGING
2026-08-21 12:31:56,12.5,1.0,36.0,80,90,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-21 12:31:58,12.5,1.0,36.0,28,80,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-21 12:32:01,12.5,1.0,36.0,40,90,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-21 12:32:16,11.1,1.0,36.0,40,60,Critical,Critical,☀️ CHARGING
2026-08-21 12:32:17,11.0,1.0,36.0,40,60,Critical,Critical,☀️ CHARGING
2026-08-21 12:32:23,11.0,1.0,45.0,40,45,Critical,Critical,☀️ CHARGING
2026-08-21 12:32:25,11.0,1.0,45.0,17,25,Critical,Critical,☀️ CHARGING
2026-08-21 12:32:27,11.0,1.0,45.0,15,25,Critical,Critical,☀️ CHARGING
2026-08-21 12:32:58,12.91,1.34,49.1,27,65,Critical,Critical,☀️ CHARGING
2026-08-21 12:34:07,12.5,1.0,30.0,80,100,Healthy,Healthy,☀️ CHARGING
2026-08-21 12:34:11,13.0,1.0,30.0,80,100,Healthy,Healthy,☀️ CHARGING
2026-08-21 12:34:19,10.93,-1.15,36.2,6,40,Critical,Critical,🔌 DISCHARGING
2026-08-21 12:34:21,12.99,-0.51,48.7,41,75,Critical,Critical,🔌 DISCHARGING
2026-08-21 12:34:24,10.71,1.33,22.7,39,70,Critical,Critical,☀️ CHARGING
2026-08-21 12:34:25,11.75,0.88,31.0,93,85,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-21 12:34:52,11.56,-1.79,34.1,32,85,Needs Attention,Needs Attention,🔌 DISCHARGING
2026-08-21 12:34:54,11.85,-1.28,45.8,75,60,Critical,Critical,🔌 DISCHARGING
2026-08-21 12:36:20,10.73,-1.08,26.4,49,70,Critical,Critical,🔌 DISCHARGING
2026-08-21 12:36:24,11.84,-1.82,42.9,25,50,Critical,Critical,🔌 DISCHARGING
2026-08-21 12:36:27,10.78,0.32,32.9,35,70,Critical,Critical,☀️ CHARGING
2026-08-21 20:23:27,10.85,-1.93,47.5,100,45,Critical,Critical,🔌 DISCHARGING
2026-08-21 20:35:58,10.84,-1.75,33.4,22,60,Critical,Critical,🔌 DISCHARGING
2026-08-21 20:36:14,11.89,-1.64,27.6,24,75,Needs Attention,Needs Attention,🔌 DISCHARGING
2026-08-21 20:36:17,12.29,1.2,49.1,69,75,Critical,Critical,☀️ CHARGING
2026-08-21 20:38:37,12.33,0.86,49.4,45,75,Critical,Critical,☀️ CHARGING
2026-08-21 20:40:39,10.83,0.88,44.0,21,35,Critical,Critical,☀️ CHARGING
2026-08-21 20:43:31,12.16,-1.23,29.1,69,100,Needs Attention,Needs Attention,🔌 DISCHARGING
2026-08-21 20:45:16,10.73,0.29,33.0,100,70,Critical,Critical,☀️ CHARGING
2026-08-21 20:46:47,12.01,-0.81,29.9,38,100,Needs Attention,Needs Attention,🔌 DISCHARGING
2026-08-21 20:48:22,12.76,-1.69,25.1,68,100,Healthy,Healthy,🔌 DISCHARGING
2026-08-21 20:54:12,11.06,0.45,25.2,20,60,Critical,Critical,☀️ CHARGING
2026-08-21 20:56:27,12.56,-1.38,43.3,49,75,Critical,Critical,🔌 DISCHARGING
